Plate,Kelp_species,Type,Plate_numb,Morpho_species,Species_genetic,Species_updated,Unique DNA,Period,Date_recorded,Density_cm,Area_cm,Sample,Rep,Unique_site,Date_released,Note
11.4,Macrocystis,Articulate,11,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-15,11.8961788,2.774,Full,6,Macro_6,2021-07-22,
3.1,Macrocystis,Articulate,3,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-08,37.34439834,2.41,Full,2,Macro_2,2021-07-22,
3.1,Macrocystis,Articulate,3,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-15,42.32365145,2.41,Full,2,Macro_2,2021-07-22,
6.5,Macrocystis,Articulate,6,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-08,95.70831751,2.633,Full,3,Macro_3,2021-07-22,
6.5,Macrocystis,Articulate,6,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-15,73.68021269,2.633,Full,3,Macro_3,2021-07-22,
7.6,Macrocystis,Articulate,7,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-08,28.52173913,2.875,Full,4,Macro_4,2021-07-22,
7.6,Macrocystis,Articulate,7,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-15,21.2173913,2.875,Full,4,Macro_4,2021-07-22,
9.3,Macrocystis,Articulate,9,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-08,246.225924,1.921,Full,5,Macro_5,2021-07-22,
9.3,Macrocystis,Articulate,9,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-15,143.6751692,1.921,Full,5,Macro_5,2021-07-22,
14.1,Nereocystis,Articulate,14,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-07,19.53232462,3.635,Full,1,Nereocystis_1,2021-07-22,
14.1,Nereocystis,Articulate,14,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-14,24.48418157,3.635,Full,1,Nereocystis_1,2021-07-22,
15.2,Nereocystis,Articulate,15,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-07,35.63103563,3.003,Full,2,Nereocystis_2,2021-07-22,
15.2,Nereocystis,Articulate,15,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-14,37.62903763,3.003,Full,2,Nereocystis_2,2021-07-22,
18.2,Nereocystis,Articulate,18,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-07,4.940711462,3.036,Full,3,Nereocystis_3,2021-07-22,
18.2,Nereocystis,Articulate,18,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-14,7.575757576,3.036,Full,3,Nereocystis_3,2021-07-22,
19.3,Nereocystis,Articulate,19,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-07,37.48558247,3.468,Full,4,Nereocystis_4,2021-07-22,
19.3,Nereocystis,Articulate,19,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-14,48.44290657,3.468,Full,4,Nereocystis_4,2021-07-22,
22.2,Nereocystis,Articulate,22,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-07,23.80196763,3.151,Full,5,Nereocystis_5,2021-07-22,
22.2,Nereocystis,Articulate,22,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-14,33.00539511,3.151,Full,5,Nereocystis_5,2021-07-22,
23.6,Nereocystis,Articulate,23,Bossiella schmitti,,Bossiella schmittii,-,1,2021-09-07,42.98418972,2.024,Full,6,Nereocystis_6,2021-07-22,
23.6,Nereocystis,Articulate,23,Bossiella schmitti,,Bossiella schmittii,-,2,2021-09-14,84.98023715,2.024,Full,6,Nereocystis_6,2021-07-22,
11.6,Costaria Costata,Articulate,11,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,1,2020-10-02,20.54292003,1.363,Full,1,Costaria_1,2020-07-30,
11.6,Costaria Costata,Articulate,11,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,2,2020-10-08,NA,1.363,Full,1,Costaria_1,2020-07-30,
14.6,Costaria Costata,Articulate,14,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,1,2020-10-02,32.78688525,0.366,Full,2,Costaria_2,2020-07-30,
14.6,Costaria Costata,Articulate,14,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,2,2020-10-08,153.0054645,0.366,Full,2,Costaria_2,2020-07-30,
15.5,Costaria Costata,Articulate,15,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,1,2020-10-02,104.7835991,0.439,Full,3,Costaria_3,2020-07-30,
15.5,Costaria Costata,Articulate,15,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,2,2020-10-08,NA,0.439,Full,3,Costaria_3,2020-07-30,
17.6,Costaria Costata,Articulate,17,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,1,2020-10-02,78.82882883,0.444,Full,4,Costaria_4,2020-07-30,
17.6,Costaria Costata,Articulate,17,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,2,2020-10-08,NA,0.444,Full,4,Costaria_4,2020-07-30,
19.5,Costaria Costata,Articulate,19,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,1,2020-10-02,38.75968992,0.645,Full,5,Costaria_5,2020-07-30,
19.5,Costaria Costata,Articulate,19,Calliarthron tuberculosum,,Calliarthron tuberculosum,-,2,2020-10-08,NA,0.645,Full,5,Costaria_5,2020-07-30,
