,contrast,group1,group 2,estimate,SE,df,t.ratio,p.value,sig
46,Chiharaea americana f. bodegensis - Lithothamnion glaciale,Chiharaea americana f. bodegensis , Lithothamnion glaciale,-0.205317294,0.67336978,53,-0.30491017,0.999999903,
47,Chiharaea americana f. bodegensis - Bossiella schmittii,Chiharaea americana f. bodegensis , Bossiella schmittii,1.927412632,0.573008479,53,3.363672099,0.049896761,*
48,Chiharaea americana f. bodegensis - Calliarthron tuberculosum,Chiharaea americana f. bodegensis , Calliarthron tuberculosum,0.051061787,0.499419542,53,0.102242269,1,
49,Chiharaea americana f. bodegensis - Bossiella orbigniana,Chiharaea americana f. bodegensis , Bossiella orbigniana,0.45431962,0.511586632,53,0.888059992,0.998045044,
50,Lithothamnion glaciale - Bossiella schmittii,Lithothamnion glaciale , Bossiella schmittii,2.132729927,0.603456344,53,3.534190911,0.031709649,*
51,Lithothamnion glaciale - Calliarthron tuberculosum,Lithothamnion glaciale , Calliarthron tuberculosum,0.256379081,0.534079321,53,0.480039333,0.999992284,
52,Lithothamnion glaciale - Bossiella orbigniana,Lithothamnion glaciale , Bossiella orbigniana,0.659636915,0.545473853,53,1.209291538,0.978639537,
53,Bossiella schmittii - Calliarthron tuberculosum,Bossiella schmittii , Calliarthron tuberculosum,-1.876350845,0.400190676,53,-4.688642088,0.000924478,***
54,Bossiella schmittii - Bossiella orbigniana,Bossiella schmittii , Bossiella orbigniana,-1.473093012,0.415275306,53,-3.547268498,0.03059838,*
55,Calliarthron tuberculosum - Bossiella orbigniana,Calliarthron tuberculosum , Bossiella orbigniana,0.403257833,0.305834501,53,1.318549188,0.961330237,
