,contrast,Group 1,group 2,estimate,SE,df,t.ratio,p.value,Sig
47,Crusticorallina painei - Chiharaea americana f. bodegensis,Crusticorallina painei , Chiharaea americana f. bodegensis,-0.994234993,1.459430098,57,-0.681248793,0.999920639,
48,Crusticorallina painei - Lithothamnion glaciale,Crusticorallina painei , Lithothamnion glaciale,-2.118012151,1.423717957,57,-1.487662736,0.937962238,
49,Crusticorallina painei - Bossiella schmittii,Crusticorallina painei , Bossiella schmittii,-0.598537628,1.442478661,57,-0.414936903,0.999999514,
50,Crusticorallina painei - Calliarthron tuberculosum,Crusticorallina painei , Calliarthron tuberculosum,-1.796351909,1.390830454,57,-1.291567857,0.976968571,
51,Crusticorallina painei - Bossiella orbigniana,Crusticorallina painei , Bossiella orbigniana,-0.063423115,1.433805953,57,-0.044234099,1,
52,Hildenbrandia spp - Chiharaea americana f. bodegensis,Hildenbrandia spp , Chiharaea americana f. bodegensis,-3.109058072,0.638028078,57,-4.872917322,0.000525539,***
53,Hildenbrandia spp - Lithothamnion glaciale,Hildenbrandia spp , Lithothamnion glaciale,-4.232835229,0.551467531,57,-7.67558377,1.54E-08,***
54,Hildenbrandia spp - Bossiella schmittii,Hildenbrandia spp , Bossiella schmittii,-2.713360707,0.598237665,57,-4.535589893,0.001653934,***
55,Hildenbrandia spp - Calliarthron tuberculosum,Hildenbrandia spp , Calliarthron tuberculosum,-3.911174988,0.459948877,57,-8.503499377,6.68E-10,***
56,Hildenbrandia spp - Bossiella orbigniana,Hildenbrandia spp , Bossiella orbigniana,-2.178246193,0.577012241,57,-3.775043297,0.017991078,*
57,Chiharaea americana f. bodegensis - Lithothamnion glaciale,Chiharaea americana f. bodegensis , Lithothamnion glaciale,-1.123777157,0.609448794,57,-1.843923835,0.786959491,
58,Chiharaea americana f. bodegensis - Bossiella schmittii,Chiharaea americana f. bodegensis , Bossiella schmittii,0.395697365,0.652073384,57,0.606829499,0.999975018,
59,Chiharaea americana f. bodegensis - Calliarthron tuberculosum,Chiharaea americana f. bodegensis , Calliarthron tuberculosum,-0.802116916,0.528076097,57,-1.518941911,0.929019469,
60,Chiharaea americana f. bodegensis - Bossiella orbigniana,Chiharaea americana f. bodegensis , Bossiella orbigniana,0.930811878,0.632656717,57,1.47127479,0.942324886,
61,Lithothamnion glaciale - Bossiella schmittii,Lithothamnion glaciale , Bossiella schmittii,1.519474522,0.567658619,57,2.676739981,0.26423719,
62,Lithothamnion glaciale - Calliarthron tuberculosum,Lithothamnion glaciale , Calliarthron tuberculosum,0.321660241,0.4194055,57,0.766943307,0.999748312,
63,Lithothamnion glaciale - Bossiella orbigniana,Lithothamnion glaciale , Bossiella orbigniana,2.054589036,0.545244102,57,3.768200385,0.018353076,*
64,Bossiella schmittii - Calliarthron tuberculosum,Bossiella schmittii , Calliarthron tuberculosum,-1.197814281,0.479241943,57,-2.499393674,0.361287833,
65,Bossiella schmittii - Bossiella orbigniana,Bossiella schmittii , Bossiella orbigniana,0.535114514,0.592505694,57,0.903138179,0.998837703,
66,Calliarthron tuberculosum - Bossiella orbigniana,Calliarthron tuberculosum , Bossiella orbigniana,1.732928794,0.452468411,57,3.829944264,0.01531604,*
