"","contrast","estimate","SE","df","t.ratio","p.value"
"25","Lithophyllum Corsp27BC - Corsp7BCcrsut",-3.53049620657983,8.19630898260289,77,-0.430742205311378,0.999997505835414
"26","Lithophyllum Corsp27BC - Bossiella schmittii",-10.3642241079354,7.40244625661657,77,-1.40010798439388,0.944747003042526
"27","Lithophyllum Corsp27BC - Calliarthron tuberculosum",-3.28777990155698,4.87233754767752,77,-0.674784919842871,0.999834009306181
"28","Corsp23BCcrust - Crusticorallina painei",1.93106944654935,10.9127391443117,77,0.176955521525127,0.999999999595334
"29","Corsp23BCcrust - Hildenbrandia spp",-16.8107165165988,14.4360158295097,77,-1.16449834325028,0.984469903418082
"30","Corsp23BCcrust - Chiharaea americana f. bodegensis",17.4474953151425,9.19199390395345,77,1.89811867778093,0.716516696044603
"31","Corsp23BCcrust - Lithothamnion glaciale",15.7929727128139,8.5294032624632,77,1.85159174995474,0.745612536713037
"32","Corsp23BCcrust - Corsp7BCcrsut",18.2279390715923,10.7267878100933,77,1.69929147423246,0.831287404295041
"33","Corsp23BCcrust - Bossiella schmittii",11.3942111702367,10.1331488870226,77,1.12444920106021,0.98802678980247
"34","Corsp23BCcrust - Calliarthron tuberculosum",18.4706553766152,8.46310634241224,77,2.1824912306786,0.52396194925598
"35","Crusticorallina painei - Hildenbrandia spp",-18.7417859631481,14.4015864987244,77,-1.30136953764143,0.965883701402096
"36","Crusticorallina painei - Chiharaea americana f. bodegensis",15.5164258685931,9.13782756352434,77,1.69804319032352,0.831919161835453
"37","Crusticorallina painei - Lithothamnion glaciale",13.8619032662645,8.47100116067197,77,1.63639491995595,0.861530815486843
"38","Crusticorallina painei - Corsp7BCcrsut",16.296869625043,10.6804081089233,77,1.52586581512997,0.906476899264019
"39","Crusticorallina painei - Bossiella schmittii",9.46314172368737,10.0840392213118,77,0.938427699060094,0.997116519443458
"40","Crusticorallina painei - Calliarthron tuberculosum",16.5395859300658,8.40424354795636,77,1.96800412026228,0.670917866614074
"41","Hildenbrandia spp - Chiharaea americana f. bodegensis",34.2582118317412,13.1457434167401,77,2.60603076948208,0.264027192207415
"42","Hildenbrandia spp - Lithothamnion glaciale",32.6036892294127,12.6912780310797,77,2.56898392341334,0.283149592608708
"43","Hildenbrandia spp - Corsp7BCcrsut",35.0386555881911,14.2611989247474,77,2.45692215451737,0.345908553671688
"44","Hildenbrandia spp - Bossiella schmittii",28.2049276868355,13.820221576191,77,2.04084482519629,0.621660537477292
"45","Hildenbrandia spp - Calliarthron tuberculosum",35.281371893214,12.6468172680492,77,2.78974315398298,0.181812940199105
"46","Chiharaea americana f. bodegensis - Lithothamnion glaciale",-1.65452260232856,6.09612474959541,77,-0.27140563395432,0.999999972182752
"47","Chiharaea americana f. bodegensis - Corsp7BCcrsut",0.780443756449877,8.91493094037632,77,0.0875434438774164,1
"48","Chiharaea americana f. bodegensis - Bossiella schmittii",-6.05328414490573,8.19101479155534,77,-0.739015164659019,0.999625725501284
"49","Chiharaea americana f. bodegensis - Calliarthron tuberculosum",1.02316006147272,6.00301473527177,77,0.170441037810713,0.999999999721225
"50","Lithothamnion glaciale - Corsp7BCcrsut",2.43496635877844,8.23006450491606,77,0.295862366245606,0.99999993508097
"51","Lithothamnion glaciale - Bossiella schmittii",-4.39876154257717,7.4398045269267,77,-0.591246924117004,0.999950427635846
"52","Lithothamnion glaciale - Calliarthron tuberculosum",2.67768266380128,4.92891002101788,77,0.543260609827142,0.999977451550384
"53","Corsp7BCcrsut - Bossiella schmittii",-6.83372790135561,9.88250717722623,77,-0.691497388142921,0.999793082714118
"54","Corsp7BCcrsut - Calliarthron tuberculosum",0.242716305022846,8.16133633079409,77,0.0297397748585653,1
"55","Bossiella schmittii - Calliarthron tuberculosum",7.07644420637845,7.36370425452702,77,0.960989735842261,0.996499490215042
