"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Control - Lithothamnion sp Rhodolith",-24.3348951422675,6.17261607244287,77,-3.94239571304435,0.00768516311839307
"2","Control - Lithophyllum Corsp27BC",-17.1231907067821,3.75479687887465,77,-4.56035073511461,0.000915479831352872
"3","Control - Corsp23BCcrust",-38.8816259849542,7.87292800589952,77,-4.93864874108065,0.000224314048636765
"4","Control - Crusticorallina painei",-36.9505565384049,7.8096181748191,77,-4.73141653167452,0.000488840637189791
"5","Control - Hildenbrandia spp",-55.692342501553,12.2597232201435,77,-4.54270797974028,0.000975839988054727
"6","Control - Chiharaea americana f. bodegensis",-21.4341306698118,5.13760764704629,77,-4.17200614416998,0.00358410056730385
"7","Control - Lithothamnion glaciale",-23.0886532721403,3.8279211614647,77,-6.03164284169995,2.81248985223304e-06
"8","Control - Corsp7BCcrsut",-20.6536869133619,7.54759810320067,77,-2.73645822564445,0.203486370453657
"9","Control - Bossiella schmittii",-27.4874148147175,6.67704775864589,77,-4.11670184313493,0.00432084582694481
"10","Control - Calliarthron tuberculosum",-20.410970608339,3.67782943699806,77,-5.54973278614002,2.03534790158555e-05
"11","Lithothamnion sp Rhodolith - Lithophyllum Corsp27BC",7.2117044354854,6.95085843537608,77,1.03752716337622,0.993545305262523
"12","Lithothamnion sp Rhodolith - Corsp23BCcrust",-14.5467308426868,9.80810525907572,77,-1.48313363880616,0.920992722666762
"13","Lithothamnion sp Rhodolith - Crusticorallina painei",-12.6156613961374,9.75735975679367,77,-1.2929380191556,0.967361811186835
"14","Lithothamnion sp Rhodolith - Hildenbrandia spp",-31.3574473592855,13.5836941522385,77,-2.30846241146545,0.438935422530752
"15","Lithothamnion sp Rhodolith - Chiharaea americana f. bodegensis",2.90076447245569,7.78530318754643,77,0.372594926951057,0.999999384350192
"16","Lithothamnion sp Rhodolith - Lithothamnion glaciale",1.24624187012713,6.99063042975532,77,0.178273173306738,0.999999999564398
"17","Lithothamnion sp Rhodolith - Corsp7BCcrsut",3.68120822890557,9.54893556970986,77,0.385509798660985,0.999999143644451
"18","Lithothamnion sp Rhodolith - Bossiella schmittii",-3.15251967245004,8.87687445885487,77,-0.355138476618348,0.999999613632526
"19","Lithothamnion sp Rhodolith - Calliarthron tuberculosum",3.92392453392841,6.90958484676766,77,0.567895846269844,0.999965889286458
"20","Lithophyllum Corsp27BC - Corsp23BCcrust",-21.7584352781722,8.49683701131989,77,-2.56076881893633,0.287502686867983
"21","Lithophyllum Corsp27BC - Crusticorallina painei",-19.8273658316228,8.43820951667612,77,-2.34971243513671,0.412127926882543
"22","Lithophyllum Corsp27BC - Hildenbrandia spp",-38.5691517947709,12.6694142423943,77,-3.0442726914486,0.10131793155191
"23","Lithophyllum Corsp27BC - Chiharaea americana f. bodegensis",-4.31093996302971,6.05047569583147,77,-0.71249603828667,0.999729514828899
"24","Lithophyllum Corsp27BC - Lithothamnion glaciale",-5.96546256535827,4.9866044789263,77,-1.19629751879634,0.981099775590313
